Year,Brand,Campaign,Star Date,End Date,TA,Publisher,Reach Fre.,cost,Universe(000),tauv,Market,index,reach,split,IMP Actual
2020,CXM,CXM Y20 Yougurt Cup,2020/8/17,2020/9/27,F25-40 GK,Tencent,1+,472239.0,95354.0,6657642.0,national,158,0.06982026973173648,BPI,
2020,CXM,CXM Y20 Yougurt Cup,2020/8/17,2020/9/27,F25-40 GK,Douyin,1+,2111060.0,95354.0,28177728.0,national,159,0.2955065125741972,BPI,
2020,CXM,CXM Y20 Yougurt Cup,2020/8/17,2020/9/27,F25-40 GK,Toutiao,1+,469163.0,95354.0,6547852.0,national,160,0.06866887597793485,BPI,
2020,CXM,CXM Y20 Yougurt Cup,2020/8/17,2020/9/27,F25-40 GK,Baidu APP,1+,458640.0,95354.0,4723665.0,national,161,0.04953819451727248,BPI,
2020,CXM,CXM Y20 Yougurt Cup,2020/8/17,2020/9/27,F25-40 GK,Ximalaya,1+,205258.0,95354.0,2690867.0,national,162,0.028219760052016696,BPI,
2020,CXM,CXM Y20 Yougurt Cup,2020/8/17,2020/9/27,F25-40 GK,Netease Cloud,1+,242304.0,95354.0,3218326.0,national,163,0.03375134760995868,BPI,
2020,CXM,CXM Y20 Yougurt Cup,2020/8/17,2020/9/27,F25-40 GK,Douyin,1+,1099405.0,95354.0,26205699.0,national,164,0.2748253770161713,BPI,
2019,Maltesers,Maltesers Y19 BPI Campaign,2019/12/18,2019/12/24,F20-40 White Collar,Douyin,1+,1996234.0,98400.0,41506997.0,national,166,0.421819075203252,BPI,
2019,Extra,Extra Y19 BPI P2 CNY,2019/1/22,2019/2/1,P13-50,Toutiao,1+,207519.0,770785.0,5500000.0,national,168,0.0071355825554467196,BPI,
2019,Extra,Extra Y19 BPI P2 CNY,2019/1/22,2019/2/1,P13-50,"Toutiao, Xigua, Douyin, Huoshan",1+,1980864.0,770785.0,50000000.0,national,169,0.0648689323222429,BPI,
2019,Extra,Extra Y19 BPI P2 CNY,2019/1/22,2019/2/1,P13-50,Toutiao,1+,1301711.0,770785.0,68838969.0,national,170,0.08931020842387954,BPI,
2019,Extra,Extra Y19 BPI P2 CNY,2019/1/22,2019/2/1,P13-50,Toutiao,1+,472.0,770785.0,901554.0,national,171,0.0011696569082169476,BPI,
2019,Extra,Extra Y19 BPI P2 CNY,2019/1/22,2019/2/1,P13-50,Toutiao,1+,0.0,770785.0,16000000.0,national,172,0.02075805834311773,BPI,
2019,Extra,Extra Y19 BPI P2 CNY,2019/1/22,2019/2/1,P13-50,Toutiao,1+,0.0,770785.0,46666667.0,national,173,0.06054433726655293,BPI,
2019,Extra,Extra Y19 BPI P2 CNY,2019/1/22,2019/2/1,P13-50,Toutiao,1+,0.0,770785.0,26000000.0,national,174,0.03373184480756631,BPI,
2019,Extra,Extra Y19 BPI P9 Crystal,2019/11/23,2019/12/19,P13-35,Tencent,1+,3380000.0,407424.0,85555556.0,national,176,0.209991448711907,BPI,
2019,Extra,Extra Y19 BPI P9 Crystal,2019/11/23,2019/12/19,P13-35,Bilibili,1+,193635.0,407424.0,8381027.0,national,177,0.020570773935752434,BPI,
2019,Extra,Extra Y19 BPI P10 In Car,2019/9/23,2019/10/20,Driver,Tencent,1+,374920.0,382933.0,26088786.0,national,179,0.06812885282804042,BPI,
